"";"x"
"1";4,08532444002543
"2";1,73029794450849
"3";1,92570401681587
"4";0,24430587189272
"5";1,46760337808574
"6";9,21717579322128
"7";3,18355760740965
"8";1,18253341573648
"9";3,8497606179348
"10";1,65301988460124
"11";4,31044371773429
"12";3,01211298992158
"13";2,50591358250443
"14";4,65638673280306
"15";1,2972083293068
"16";5,42918357041605
"17";3,15731250295851
"18";0,821644383016974
"19";4,47658254926033
"20";2,37796278285298
"21";2,8014371030635
"22";0,219569211457137
"23";0,57737798569724
"24";0,328090500086546
"25";2,62522650124941
"26";5,70415786069758
"27";2,65165652760189
"28";1,27612066967413
"29";3,49116353864286
"30";1,06872810219116
"31";2,00515980832279
"32";0,0354263288900256
"33";1,10100338965106
"34";3,6901184617604
"35";1,19873750349507
"36";0,721100516617298
"37";0,697872758377343
"38";14,604913883449
"39";6,15486403156943
"40";3,55571649210963
"41";7,2155596069936
"42";1,0430532284081
"43";1,51211266312748
"44";0,168860144885653
"45";1,60874611744657
"46";1,5967991547659
"47";5,14403438612455
"48";1,92556025879458
"49";0,220099554397166
"50";4,34420648191996
